name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Alisson,br BRA,GK,32-350,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Dominik Szoboszlai,hu HUN,"DF,MF",24-327,4,4,360.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.09,0.2,0.05,Liverpool
Virgil van Dijk,nl NED,DF,34-071,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.01,Liverpool
Cody Gakpo,nl NED,"FW,MF",26-133,4,4,359.0,1.0,0.25,2.0,0.5,0.0,0.0,0.0,0.5,0.13,1.4,0.34,Liverpool
Mohamed Salah,eg EGY,"FW,MF",33-094,4,4,359.0,2.0,0.5,1.0,0.25,1.0,0.0,0.0,1.1,0.28,0.5,0.14,Liverpool
Ibrahima Konaté,fr FRA,DF,26-115,4,4,344.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.13,0.2,0.05,Liverpool
Florian Wirtz,de GER,MF,22-137,4,4,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.6,0.16,Liverpool
Hugo Ekitike,fr FRA,FW,23-089,4,4,299.0,2.0,0.6,1.0,0.3,0.0,0.0,0.0,1.5,0.44,0.3,0.08,Liverpool
Milos Kerkez,hu HUN,DF,21-314,4,4,276.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.05,0.0,0.01,Liverpool
Ryan Gravenberch,nl NED,MF,23-124,3,3,270.0,1.0,0.33,0.0,0.0,0.0,2.0,0.0,0.2,0.06,0.3,0.09,Liverpool
Alexis Mac Allister,ar ARG,MF,26-267,3,3,176.0,0.0,0.0,1.0,0.51,0.0,0.0,0.0,0.1,0.04,0.7,0.37,Liverpool
Curtis Jones,eng ENG,MF,24-230,3,1,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,Liverpool
Jeremie Frimpong,nl NED,DF,24-281,2,1,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,Liverpool
Andrew Robertson,sct SCO,DF,31-190,2,0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.3,0.35,Liverpool
Conor Bradley,nir NIR,DF,22-070,2,0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04,0.0,0.0,Liverpool
Federico Chiesa,it ITA,FW,27-327,4,0,51.0,1.0,1.76,0.0,0.0,0.0,0.0,0.0,0.4,0.74,0.0,0.0,Liverpool
Wataru Endo,jp JPN,"MF,DF",32-220,3,0,34.0,0.0,0.0,1.0,2.65,0.0,1.0,0.0,0.0,0.0,0.1,0.29,Liverpool
Joe Gomez,eng ENG,DF,28-117,2,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Rio Ngumoha,eng ENG,"MF,FW",17-019,2,0,5.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4,6.4,0.1,1.27,Liverpool
Harvey Elliott,eng ENG,"MF,FW",22-166,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Giovanni Leoni,it ITA,DF,18-270,0,0,,,,,,,,,,,,,Liverpool
Giorgi Mamardashvili,ge GEO,GK,24-353,0,0,,,,,,,,,,,,,Liverpool
Trey Nyoni,eng ENG,MF,18-079,0,0,,,,,,,,,,,,,Liverpool
Gabriel Magalhães,br BRA,DF,27-272,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.07,0.0,0.0,Arsenal
David Raya,es ESP,GK,30-002,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.01,Arsenal
Martín Zubimendi,es ESP,MF,26-227,4,4,360.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.2,0.05,0.0,0.01,Arsenal
Viktor Gyökeres,se SWE,FW,27-105,4,4,306.0,3.0,0.88,0.0,0.0,1.0,1.0,0.0,2.1,0.62,0.1,0.04,Arsenal
Riccardo Calafiori,it ITA,DF,23-121,4,4,291.0,1.0,0.31,2.0,0.62,0.0,2.0,0.0,1.4,0.44,0.5,0.15,Arsenal
Declan Rice,eng ENG,MF,26-246,4,3,285.0,0.0,0.0,1.0,0.32,0.0,0.0,0.0,0.1,0.05,0.5,0.16,Arsenal
Jurriën Timber,nl NED,DF,24-092,4,3,263.0,2.0,0.68,1.0,0.34,0.0,1.0,0.0,1.1,0.38,0.2,0.06,Arsenal
Noni Madueke,eng ENG,FW,23-191,4,3,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.8,0.29,Arsenal
William Saliba,fr FRA,DF,24-177,3,3,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Martin Ødegaard,no NOR,MF,26-274,4,3,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.1,0.08,Arsenal
Mikel Merino,es ESP,"MF,FW",29-087,3,2,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.1,0.03,Arsenal
Bukayo Saka,eng ENG,FW,24-012,2,2,142.0,1.0,0.63,0.0,0.0,0.0,0.0,0.0,0.3,0.16,0.1,0.07,Arsenal
Gabriel Martinelli,br BRA,FW,24-091,3,2,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,Arsenal
Cristhian Mosquera,es ESP,DF,21-082,3,1,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Eberechi Eze,eng ENG,FW,27-080,2,1,99.0,0.0,0.0,1.0,0.91,0.0,0.0,0.0,0.1,0.05,0.5,0.42,Arsenal
Ben White,eng ENG,DF,27-344,1,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.06,Arsenal
Ethan Nwaneri,eng ENG,MF,18-180,2,0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.0,0.03,Arsenal
Myles Lewis-Skelly,eng ENG,DF,18-356,3,0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Leandro Trossard,be BEL,FW,30-287,2,0,50.0,0.0,0.0,1.0,1.8,0.0,0.0,0.0,0.1,0.13,0.1,0.23,Arsenal
Kai Havertz,de GER,FW,26-098,1,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Max Dowman,eng ENG,FW,15-260,2,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.43,0.0,0.0,Arsenal
Andre Annous,eng ENG,FW,17-264,0,0,,,,,,,,,,,,,Arsenal
Kepa Arrizabalaga,es ESP,GK,30-349,0,0,,,,,,,,,,,,,Arsenal
Piero Hincapié,ec ECU,DF,23-251,0,0,,,,,,,,,,,,,Arsenal
Jakub Kiwior,pl POL,"DF,MF",25-214,0,0,,,,,,,,,,,,,Arsenal
Cristian Romero,ar ARG,DF,27-143,4,4,360.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.1,0.02,0.2,0.04,Tottenham-Hotspur
