name,age,ast,ast,crdr,crdy,gls,gls,min,mp,nation,pk,pos,starts,team,xag,xag,xg,xg
Alisson,32-350,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,br BRA,0.0,GK,4,Liverpool,0.0,0.0,0.0,0.0
Dominik Szoboszlai,24-327,0.0,0.0,0.0,0.0,1.0,0.25,360.0,4,hu HUN,0.0,"DF,MF",4,Liverpool,0.2,0.05,0.4,0.09
Virgil van Dijk,34-071,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,nl NED,0.0,DF,4,Liverpool,0.0,0.01,0.2,0.04
Cody Gakpo,26-133,2.0,0.5,0.0,0.0,1.0,0.25,359.0,4,nl NED,0.0,"FW,MF",4,Liverpool,1.4,0.34,0.5,0.13
Mohamed Salah,33-094,1.0,0.25,0.0,0.0,2.0,0.5,359.0,4,eg EGY,1.0,"FW,MF",4,Liverpool,0.5,0.14,1.1,0.28
Ibrahima Konaté,26-115,0.0,0.0,0.0,1.0,0.0,0.0,344.0,4,fr FRA,0.0,DF,4,Liverpool,0.2,0.05,0.5,0.13
Florian Wirtz,22-137,0.0,0.0,0.0,0.0,0.0,0.0,334.0,4,de GER,0.0,MF,4,Liverpool,0.6,0.16,0.5,0.15
Hugo Ekitike,23-089,1.0,0.3,0.0,0.0,2.0,0.6,299.0,4,fr FRA,0.0,FW,4,Liverpool,0.3,0.08,1.5,0.44
Milos Kerkez,21-314,0.0,0.0,0.0,2.0,0.0,0.0,276.0,4,hu HUN,0.0,DF,4,Liverpool,0.0,0.01,0.2,0.05
Ryan Gravenberch,23-124,0.0,0.0,0.0,2.0,1.0,0.33,270.0,3,nl NED,0.0,MF,3,Liverpool,0.3,0.09,0.2,0.06
Alexis Mac Allister,26-267,1.0,0.51,0.0,0.0,0.0,0.0,176.0,3,ar ARG,0.0,MF,3,Liverpool,0.7,0.37,0.1,0.04
Curtis Jones,24-230,0.0,0.0,0.0,0.0,0.0,0.0,138.0,3,eng ENG,0.0,MF,1,Liverpool,0.1,0.06,0.0,0.0
